data,ipca_pct,us_cpi_lag2,us_cpi_lag3,usd_brl_lag4
2006-03-01,0.43,0.7621951219512146,-0.4048582995951344,-2.0982123053719715
2006-04-01,0.21,0.20171457387794245,0.7621951219512146,6.057997281377436
2006-05-01,0.1,0.5535983895319729,0.20171457387794245,-5.327466142606907
2006-06-01,-0.21,0.8508508508508372,0.5535983895319729,-3.6326714801444115
2006-07-01,0.19,0.496277915632759,0.8508508508508372,1.7279325684851354
2006-08-01,0.05,0.19753086419753707,0.496277915632759,-3.829865586448178
2006-09-01,0.21,0.29571217348447476,0.19753086419753707,10.113919203522892
2006-10-01,0.33,0.19656019656020263,0.29571217348447476,-5.92045207563574
2006-11-01,0.31,-0.49043648847474364,0.19656019656020263,0.5498313542485089
2006-12-01,0.48,-0.5421389847215297,-0.49043648847474364,-1.7185920411727063
2007-01-01,0.44,-0.14866204162538033,-0.5421389847215297,1.6551337198429161
2007-02-01,0.44,0.14888337468983437,-0.14866204162538033,-1.435010578603635
2007-03-01,0.37,0.30525272547075044,0.14888337468983437,1.1105926271582023
2007-04-01,0.25,0.5350367559876723,0.30525272547075044,-1.3291489754476582
2007-05-01,0.28,0.9105695851085338,0.5350367559876723,-0.6220767072030009
2007-06-01,0.28,0.6496162686508988,0.9105695851085338,-0.3059255424295193
2007-07-01,0.24,0.6110718674704696,0.6496162686508988,-3.2008308941554153
2007-08-01,0.47,0.19379751766057662,0.6110718674704696,-0.8047210300429097
2007-09-01,0.18,-0.02543772078021922,0.19379751766057662,-5.162495697920255
2007-10-01,0.3,-0.18339022270870142,-0.02543772078021922,-0.1399761522111076
2007-11-01,0.38,0.2755907405358915,-0.18339022270870142,-2.5231024815699277
2007-12-01,0.74,0.2139191328121237,0.2755907405358915,4.495100127822749
2008-01-01,0.54,0.5939617873415681,0.2139191328121237,-6.274209989806323
2008-02-01,0.49,-0.0670863129647814,0.5939617873415681,-5.160693893088264
2008-03-01,0.48,0.4970576472604682,-0.0670863129647814,2.2763761467889942
2008-04-01,0.55,0.29041121849535667,0.4970576472604682,-0.695184167741214
2008-05-01,0.79,0.8668212930989627,0.29041121849535667,-0.6210128154462868
2008-06-01,0.74,0.6064778389719416,0.8668212930989627,-4.374254388456511
2008-07-01,0.53,0.8420886031756281,0.6064778389719416,3.908988296797955
2008-08-01,0.28,1.0076996934894167,0.8420886031756281,-3.538962895203246
2008-09-01,0.26,0.5251011128121874,1.0076996934894167,-3.4257942152679077
2008-10-01,0.45,-0.39915622556417896,0.5251011128121874,-2.301460660365773
2008-11-01,0.36,-0.13830185406644713,-0.39915622556417896,-1.589295810038327
2008-12-01,0.28,-1.010133328457874,-0.13830185406644713,4.327843738031412
2009-01-01,0.48,-1.9152895328595876,-1.010133328457874,17.125550660792932
2009-02-01,0.55,-1.0342473814287434,-1.9152895328595876,10.49992164237581
2009-03-01,0.2,0.4352417375421025,-1.0342473814287434,10.296411856474252
2009-04-01,0.48,0.49729330359047363,0.4352417375421025,0.16715957310018403
2009-05-01,0.47,0.24317484554154944,0.49729330359047363,-0.8900299529311262
2009-06-01,0.36,0.2496368277788097,0.24317484554154944,2.6854330368707435
2009-07-01,0.24,0.2888763834177466,0.2496368277788097,-2.657248570467552
2009-08-01,0.15,0.8589892263953347,0.2888763834177466,-5.91309606081547
2009-09-01,0.24,-0.15855869221532704,0.8589892263953347,-9.42478079236102
2009-10-01,0.28,0.2242850044810618,-0.15855869221532704,-1.084642676127734
2009-11-01,0.41,0.06254806934959944,0.2242850044810618,-4.0479606476736985
2009-12-01,0.37,0.0963101185818438,0.06254806934959944,0.7369432874078763
2010-01-01,0.75,0.07077533687673832,0.0963101185818438,-5.741094147582704
2010-02-01,0.78,-0.1761198169463296,0.07077533687673832,-1.9177774028457328
2010-03-01,0.52,0.34174735701484327,-0.1761198169463296,0.3727064220183429
2010-04-01,0.57,0.024920738207656612,0.34174735701484327,-0.5312767780634053
2010-05-01,0.43,0.4106283536571276,0.024920738207656612,7.672869285550199
2010-06-01,0.0,0.1736884910697345,0.4106283536571276,-3.403029656496692
2010-07-01,0.01,0.0775197354237811,0.1736884910697345,-1.656543346217565
2010-08-01,0.04,-0.09762670846739097,0.0775197354237811,-2.82987085906794
2010-09-01,0.45,0.02110430573716293,-0.09762670846739097,4.975153126083454
